Date,Open,High,Low,Close,Adj Close,Volume
29-12-2016,26429.41016,26429.63086,26166.66992,26366.15039,26366.15039,6700
30-12-2016,26441.50977,26678.59961,26406.5293,26626.46094,26626.46094,8600
02-01-2017,26711.15039,26720.98047,26447.06055,26595.44922,26595.44922,8000
03-01-2017,26616.91992,26724.40039,26488.36914,26643.24023,26643.24023,9800
04-01-2017,26677.2207,26723.36914,26606.06055,26633.13086,26633.13086,8100
05-01-2017,26738.41992,26917.21094,26738.41992,26878.24023,26878.24023,9800
06-01-2017,26929.68945,27009.60938,26733.33008,26759.23047,26759.23047,7800
09-01-2017,26860.81055,26860.88086,26701.17969,26726.55078,26726.55078,6400
10-01-2017,26811.63086,26914.94922,26804.16992,26899.56055,26899.56055,8600
11-01-2017,26978.43945,27174.86914,26978.43945,27140.41016,27140.41016,12000
12-01-2017,27171.66016,27278.92969,27166.68945,27247.16016,27247.16016,11700
13-01-2017,27378.00977,27459.75,27143.07031,27238.06055,27238.06055,10200
16-01-2017,27238.34961,27335.08008,27172.67969,27288.16992,27288.16992,12600
17-01-2017,27331.82031,27381.42969,27179.18945,27235.66016,27235.66016,8100
18-01-2017,27261.75977,27422.66992,27217.65039,27257.64063,27257.64063,9500
19-01-2017,27253.33984,27348.18945,27219.89063,27308.59961,27308.59961,10800
20-01-2017,27232.68945,27264.41016,27009.81055,27034.5,27034.5,8800
23-01-2017,26990.92969,27167.78906,26963.58008,27117.33984,27117.33984,6600
24-01-2017,27170.88086,27393.34961,27140.84961,27375.58008,27375.58008,6800
25-01-2017,27462.83008,27736.83008,27439.67969,27708.14063,27708.14063,12200
27-01-2017,27761.0293,27980.39063,27759.48047,27882.46094,27882.46094,14300
30-01-2017,27866.80078,27947.36914,27813.32031,27849.56055,27849.56055,8600
31-01-2017,27867.91992,27867.91992,27624.53906,27655.96094,27655.96094,10700
01-02-2017,27669.08008,28159.53906,27590.09961,28141.64063,28141.64063,18200
02-02-2017,28167.83008,28299.91992,28070.81055,28226.60938,28226.60938,17200
03-02-2017,28270.66992,28280.58008,28127.17969,28240.51953,28240.51953,10800
06-02-2017,28340.39063,28487.2793,28340.39063,28439.2793,28439.2793,10000
07-02-2017,28443.23047,28483.41016,28239.11914,28335.16016,28335.16016,10800
08-02-2017,28386.08008,28391.64063,28149.08008,28289.91992,28289.91992,10900
09-02-2017,28349.2207,28469.48047,28152.17969,28329.69922,28329.69922,10200
10-02-2017,28367.16992,28456.17969,28286.80078,28334.25,28334.25,13700
13-02-2017,28450.41992,28458.80078,28197.38086,28351.61914,28351.61914,9400
14-02-2017,28386.11914,28393.41992,28263.44922,28339.31055,28339.31055,11700
15-02-2017,28270.10938,28382.32031,28102.23047,28155.56055,28155.56055,17800
16-02-2017,28223.84961,28327.83984,28146.18945,28301.26953,28301.26953,9700
17-02-2017,28670.42969,28726.25977,28410.91016,28468.75,28468.75,15000
20-02-2017,28481.91016,28696.5293,28419.26953,28661.58008,28661.58008,8900
21-02-2017,28716.69922,28801,28597.33008,28761.58984,28761.58984,8400
22-02-2017,28822.40039,28963.51953,28789.30078,28864.71094,28864.71094,16300
23-02-2017,28927.66992,29065.31055,28860.46094,28892.9707,28892.9707,18400
27-02-2017,28910.5,28961.83008,28791.18945,28812.88086,28812.88086,12000
28-02-2017,28825.18945,28876.53906,28721.11914,28743.32031,28743.32031,10700
01-03-2017,28849.03906,29029.16992,28824.16992,28984.49023,28984.49023,14600
02-03-2017,29117.38086,29145.61914,28784.31055,28839.78906,28839.78906,10800
